name,region,cityProvince,address,holes,phone,certified,status,lat,lng
송백지구 파크골프장,경남,경남,경상남도 진주시 금산면 송백리 663,36,,False,공개,37.5085,127.0632
송정파크골프장,경남,경남,경상남도 산청군 생초면 어서리,9,,False,공개,37.5085,127.0632
술뫼파크골프장,경남,경남,경상남도 김해시 한림면 시산리 495-2,72,,False,공개,37.5085,127.0632
시천(덕산)파크골프장,경남,경남,경상남도 산청군 시천면 사리 900-48,18,,False,공개,35.29712,127.8493
신안파크골프장,경남,경남,경상남도 산청군 신안면 중촌갈전로 228-35,18,,False,공개,37.5085,127.0632
쌍백파크골프장,경남,경남,경상남도 합천군 쌍백면 중앙로63,9,,False,공개,37.5085,127.0632
알천파크골프장,경북,경북,경상북도 경주시 구황동 883-1,18,,False,공개,37.5085,127.0632
양포파크구미교육원,경북,경북,경상북도 구미시 거양길 280(양호동 607-2),18,,False,공개,37.5085,127.0632
어울림파크골프장,경북,경북,경상북도 구미시 신평동 구미시산업로193-105,18,,False,공개,37.5085,127.0632
영덕파크골프장,경북,경북,경상북도 영덕군 천전길364-5,18,,False,공개,37.5085,127.0632
영양군 파크골프장,경북,경북,경상북도 영양군 영양읍 삼지리 200 삼지수변공원 내,27,,False,공개,37.5085,127.0632
영주파크골프장(1구장),경북,경북,경상북도 영주시 가흥동 1382 영주교 밑,36,,False,공개,37.5085,127.0632
영주파크골프장(2구장),경북,경북,경상북도 영주시 가흥동 46 가흥제1교 밑,18,,False,공개,37.5085,127.0632
영천조교파크골프장,경북,경북,경상북도 영천시 조교동 51-1,36,,False,공개,37.5085,127.0632
영해파크골프장,경북,경북,경상북도 영덕군 영해면 영덕로1582 영해생활체육공원 내,9,,False,공개,37.5085,127.0632
예천파크골프장,경북,경북,경상북도 예천군 예천읍 왕신길 84-9,36,,False,공개,37.5085,127.0632
오부파크골프장,경남,경남,경상남도 산청군 오부면 오잔리,9,,False,공개,37.5085,127.0632
오수파크골프장,경북,경북,경상북도 영천시 오수5길 75,36,,True,공개,37.5085,127.0632
옥동파크골프장,경북,경북,경상북도 안동시 옥동 1381-15,18,,False,공개,37.5085,127.0632
왕피천파크골프장,경북,경북,경상북도 울진군 근남면 수산리 364-3,36,,False,공개,37.5085,127.0632
왜관파크골프장,경북,경북,경상북도 칠곡군 왜관읍 왜관리 1282,18,,False,공개,35.98192,128.40393
용상파크골프장,경북,경북,경상북도 안동시 용상동 구 안동병원앞,9,,False,공개,37.5085,127.0632
용원동 파크골프장,경남,경남,경상남도 창원시 용원동 1347-7,18,,False,공개,35.0913637,128.8166805
의성군파크골프장,경북,경북,경상북도 의성군 비안면 동부리 162-1,36,,False,공개,37.5085,127.0632
